Titel,Autor,Jahr,Journal,Typ,DOI
miniaturization design of head-mounted display optical system based on double threshold method for virtual reality,"zeng zongshun; ma xiaozhe; zhang fang; zhu jing; avakaw, syarhei; huang huijle",2019,optik,,10.1016/j.ijleo.2019.01.083
do users perceive the same image differently? comparison of oled and lcd in mobile hmds and smartphones,"han, jungmin; suk, hyeon-jeong",2019,journal of information display,,10.1080/15980316.2019.1567612
the introduction of a novel virtual reality training system for gynecology learning and its user experience research,"chang, chen-wei; yeh, shih-ching; li, mengtong; yao, eason",2019,ieee access,,10.1109/ACCESS.2019.2905143
an interactive mixed reality ray tracing rendering mobile application of medical data in minimally invasive surgeries,"el-seoud, samir a.; mady, amr s.; rashed, essam a.",2019,international journal of online and biomedical engineering,,10.3991/ijoe.v15i06.9933
an interactive and low-cost full body rehabilitation framework based on 3d immersive serious games,"avola, danilo; cinque, luigi; foresti, gian luca; marini, marco raoul",2019,journal of biomedical informatics,,10.1016/j.jbi.2018.11.012
prototyping a digital twin for real time remote control over mobile networks: application of remote surgery,"laaki, heikki; miche, yoan; tammi, kari",2019,ieee access,,10.1109/ACCESS.2019.2897018
walking simulation for vr game character using remote sensoring device based on ahrs-motion recognition,"kim, j. y.; lee, w. h.",2019,ieee access,,10.1109/ACCESS.2018.2878237
immertai: immersive motion learning in vr environments,"chen, xiaoming; chen, zhibo; li, ye; he, tianyu; hou, junhui; liu, sen; he, ying",2019,journal of visual communication and image representation,,10.1016/j.jvcir.2018.11.039
the effects of auditory background noise and virtual reality technology on video game distraction analgesia,"zeroth, julia a.; dahlquist, lynnda m.; foxen-craft, emily c.",2019,scandinavian journal of pain,,10.1515/sjpain-2018-0123
an evaluation for vr glasses system user experience: the influence factors of interactive operation and motion sickness,"yu, mengli; zhou, ronggang; wang, huiwen; zhao, weihua",2019,applied ergonomics,,10.1016/j.apergo.2018.08.012
investigating learning outcomes and subjective experiences in 360-degree videos,"rupp, michael a.; odette, katy l.; kozachuk, james; michaelis, jessica r.; smither, janan a.; mcconnell, daniel s.",2019,computers & education,,10.1016/j.compedu.2018.09.015
efficacy investigation of virtual reality teaching module in manufacturing system design course,"ma, junfeng; jaradat, raed; ashour, omar; hamilton, michael; jones, parker; dayarathna, vidanelage l.",2019,journal of mechanical design,,10.1115/1.4041428
virtual reality headset training: can it be used to improve young drivers' latent hazard anticipation and mitigation skills,"agrawal, ravi; knodler, michael; fisher, donald l.; samuel, siby",2018,transportation research record,,10.1177/0361198118758311
evaluation of virtual reality for detection of lung nodules on computed tomography,"nguyen, brian j.; khurana, aman; bagley, brendon; yen, andrew; brown, richard k. j.; stojanovska, jadranka; cline, michael; goodsitt, mitchell; obrzut, sebastian",2018,tomography,,10.18383/j.tom.2018.00053
action augmented real virtuality: a design for presence,"khan, muhammad sikandar lal; halawani, alaa; rehman, shafiq ur; li, haibo",2018,ieee transactions on cognitive and developmental systems,,10.1109/TCDS.2018.2828865
a head mounted device stimulator for optogenetic retinal prosthesis,"soltan, ahmed; barrett, john martin; maaskant, pleun; armstrong, niall; al-atabany, walid; chaudet, lionel; neil, mark; sernagor, evelyne; degenaar, patrick",2018,journal of neural engineering,,10.1088/1741-2552/aadd55
virtual reality analgesia for pediatric dental patients,"atzori, barbara; grotto, rosapia lauro; giugni, andrea; calabro, massimo; alhalabi, wadee; hoffman, hunter g.",2018,frontiers in psychology,,10.3389/fpsyg.2018.02265
"the historic wooden model of solomon's temple 3d recording, modelling and immersive virtual reality visualisation","kersten, thomas peter; tschirschwitz, felix; lindstaedt, maren; deggim, simon",2018,journal of cultural heritage management and sustainable development,,10.1108/JCHMSD-09-2017-0067
"the past, present, and future o f virtual and augmented reality research: a network and cluster analysis of the literature","cipresso, pietro; chicchi giglioli, irene alice; alcaniz raya, mariano; riva, giuseppe",2018,frontiers in psychology,,10.3389/fpsyg.2018.02086
project star catcher: a novel immersive virtual reality experience for upper limb rehabilitation,"elor, aviv; teodorescu, mircea; kurniawan, sri",2018,acm transactions on accessible computing,,10.1145/3265755
machining optimization of large casting components by remote monitoring and 3d visualization techniques,"checa, david; zulaika, juanjo; lazkanotegi, inigo; bustillo, andres",2018,dyna,,10.6036/8816
"towards fully mobile 3d face, body, and environment capture using only head-worn cameras","cha, young-woon; price, true; wei, zhen; lu, xinran; rewkowski, nicholas; chabra, rohan; qin, zihe; kim, hyounghun; su, zhaoqi; liu, yebin; ilie, adrian; state, andrei; xu, zhenlin; frahm, jan-michael; fuchs, henry",2018,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2018.2868527
efficient audio rendering using angular region-wise source enhancement for 360 degrees video,"niwa, kenta; hioka, yusuke; uematsu, hisashi",2018,ieee transactions on multimedia,,10.1109/TMM.2018.2829187
self-reported discomfort when using commercially targeted virtual reality equipment in discomfort distraction,"boylan, patrick; kirwan, grainne h.; rooney, brendan",2018,virtual reality,,10.1007/s10055-017-0329-9
user-elicited dual-hand interactions for manipulating 3d objects in virtual reality environments,"nanjappan, vijayakumar; liang, hai-ning; lu, feiyu; papangelis, konstantinos; yue, yong; man, ka lok",2018,human-centric computing and information sciences,,10.1186/s13673-018-0154-5
multiuser virtual reality environment for visualising neuroimaging data,"shattuck, david w.",2018,healthcare technology letters,,10.1049/htl.2018.5077
vrheab: a fully immersive motor rehabilitation system based on recurrent neural network,"avola, danilo; cinque, luigi; foresti, gian luca; marini, marco raoul; pannone, daniele",2018,multimedia tools and applications,,10.1007/s11042-018-5730-1
spatial learning and memory using a radial arm maze with a head-mounted display,"kim, hyunjeong; park, jin young; kim, kwanguk (kenny)",2018,psychiatry investigation,,10.30773/pi.2018.06.28.3
pain distraction during ambulatory surgery: virtual reality and mobile devices,"mosso vazquez, jose luis; lara, dejanira mosso; mosso lara, jose luis; miller, ian; wiederhold, mark d.; wiederhold, brenda k.",2019,cyberpsychology behavior and social networking,,10.1089/cyber.2017.0714
factors affecting enjoyment of virtual reality games: a comparison involving consumer-grade virtual reality technology,"shafer, daniel m.; carbonara, corey p.; korpi, michael f.",2019,games for health journal,,10.1089/g4h.2017.0190
effects of unexpected visual motion on postural sway and motion sickness,"dennison, mark; d'zmura, michael",2018,applied ergonomics,,10.1016/j.apergo.2018.03.015
the effects of appearance and motion of virtual characters on emotional reactivity,"mousas, christos; anastasiou, dimitris; spantidi, ourania",2018,computers in human behavior,,10.1016/j.chb.2018.04.036
an innovative virtual reality training tool for orthognathic surgery,"pulijala, y.; ma, m.; pears, m.; peebles, d.; ayoub, a.",2018,international journal of oral and maxillofacial surgery,,10.1016/j.ijom.2018.01.005
time sequential motion-to-photon latency measurement system for virtual reality head-mounted displays,"choi, song-woo; lee, siyeong; seo, min-woo; kang, suk-ju",2018,electronics,,10.3390/electronics7090171
modulating the internal model of verticality by virtual reality and body-weight support walking: a pilot study,"odin, anais; faletto-passy, dominique; assaban, franck; perennou, dominic",2018,annals of physical and rehabilitation medicine,,10.1016/j.rehab.2018.07.003
change of blink rate in viewing virtual reality with hmd,"kim, jungho; kumar, yadav sunil; yoo, jisang; kwon, soonchul",2018,symmetry-basel,,10.3390/sym10090400
geovisualisation of relief in a virtual reality system on the basis of low-level aerial imagery,"halik, lukasz; smaczynski, maciej",2018,pure and applied geophysics,,10.1007/s00024-017-1755-z
virtual reality's effect on parameter optimisation for crowd-sourced procedural animation,"henshall, gareth i.; teahan, william j.; ap cenydd, llyr",2018,visual computer,,10.1007/s00371-018-1501-2
a survey of calibration methods for optical see-through head-mounted displays,"grubert, jens; itoh, yuta; moser, kenneth; swan, j. edward, ii",2018,ieee transactions on visualization and computer graphics,,10.1109/TVCG.2017.2754257
get ready for automated driving using virtual reality,"sportillo, daniele; paljic, alexis; ojeda, luciano",2018,accident analysis and prevention,,10.1016/j.aap.2018.06.003
a system for head-neck rehabilitation exercises based on serious gaming and virtual reality,"mihajlovic, zeljka; popovic, sinisa; brkic, karla; cosic, kresimir",2018,multimedia tools and applications,,10.1007/s11042-017-5328-z
behavior analysis of human locomotion in the real world and virtual reality for the manufacturing industry,"agethen, philipp; sekar, viswa subramanian; gaisbauer, felix; pfeiffer, thies; otto, michael; rukzio, enrico",2018,acm transactions on applied perception,,10.1145/3230648
a network-based virtual reality simulation training approach for orthopedic surgery,"cecil, j.; gupta, avinash; pirela-cruz, m.; ramanthan, parmesh",2018,acm transactions on multimedia computing communications and applications,,10.1145/3232678
two case studies from a virtual reality intervention for delusions: feasibility and preliminary evidence,"dietrichkeit, mona; flint, kristina; krieger, eva; grzella, karsten; nagel, matthias; moritz, steffen",2018,cognitive behaviour therapist,,10.1017/S1754470X18000090
"the same video game in 2d, 3d or virtual reality - how does technology impact game evaluation and brand placements?","roettl, johanna; terlutter, ralf",2018,plos one,,10.1371/journal.pone.0200724
research and implementation on flower plants rendering technology based on physical light simulation for vr application,huai yongjian; zhang han; zhang shuai,2018,journal of electronics & information technology,,10.11999/JEIT170995
real-time automated image segmentation technique for cerebral aneurysm on reconfigurable system-on-chip,"zhai, xiaojun; eslami, mohammad; hussein, ealaf sayed; filali, maroua salem; shalaby, salma tarek; amira, abbes; bensaali, faycal; dakua, sarada; abinahed, julien; al-ansari, abdulla; ahmed, ayman z.",2018,journal of computational science,,10.1016/j.jocs.2018.05.002
